Date,VWO,ACWI,VDE,VOO,ICLN,VEA,VDC,XL,EBIZ,TDOC,DIS,TSLA,MARA,MS,MSTR,Z,GLD,U,COIN,TSM,PTON,BNDX,AGG,ZM,ADM,CXSE,VYM,EDV,BND,TMF,VXF,QQQ,TQQQ,CURE,VBK,YINN,CWEB,VIG,PLTR,DLO,SOXL,MOS,NOBL,TMV,SHY,IEF,USDJPY=X,PFF,FNGU,NVDA,MU,SOXX,INDA,VGK,V,XLV,PFFD,PDD,AMZN
2019-09-23,35.74690246582031,67.70652770996094,66.68138122558594,253.8348846435547,10.73930549621582,35.76909637451172,137.2296600341797,53.311546325683594,17.36079978942871,72.19999694824219,130.64068603515625,16.082000732421875,1.7400000095367432,37.07474136352539,15.059000015258789,30.190000534057617,143.75,,,39.855377197265625,,50.75720977783203,99.52678680419922,82.62000274658203,35.364898681640625,34.70382308959961,76.2763442993164,117.44986724853516,73.69770812988281,269.53155517578125,111.42798614501953,184.90933227539062,15.403675079345703,51.21464538574219,181.85768127441406,324.6029052734375,220.03990173339844,108.96495819091797,,,11.563264846801758,19.275943756103516,64.67560577392578,24.897010803222656,77.63567352294922,101.9022216796875,107.6520004272461,28.740520477294922,35.939998626708984,4.3498430252075195,48.67098617553711,68.2622299194336,31.70147705078125,46.00567626953125,168.87803649902344,84.30748748779297,18.75071907043457,33.81999969482422,89.26499938964844
2019-09-24,35.311492919921875,67.30464935302734,65.56283569335938,251.732177734375,10.635132789611816,35.617393493652344,137.52903747558594,53.5316162109375,17.370607376098633,71.0,130.15740966796875,14.880666732788086,1.6699999570846558,36.206607818603516,14.887999534606934,29.3700008392334,144.50999450683594,,,39.90058517456055,,50.8348503112793,99.79991912841797,80.0199966430664,34.95346450805664,34.169036865234375,75.85149383544922,119.24605560302734,73.95138549804688,279.5115051269531,109.84757995605469,182.45358276367188,14.7946138381958,49.71284866333008,178.94847106933594,313.6520080566406,206.74761962890625,108.59227752685547,,,11.00344467163086,18.50084686279297,64.37720489501953,23.975765228271484,77.71817779541016,102.41097259521484,107.61399841308594,28.702192306518555,32.52000045776367,4.292372703552246,47.601402282714844,67.13471984863281,31.35618019104004,45.75065231323242,168.4628143310547,83.53358459472656,18.735769271850586,30.989999771118164,87.08049774169922
2019-09-25,35.34624481201172,67.48731231689453,65.60364532470703,253.27236938476562,10.578311920166016,35.55672836303711,137.81967163085938,53.56684112548828,17.370607376098633,69.0,131.26202392578125,15.24666690826416,1.7899999618530273,36.63216018676758,14.956999778747559,30.31999969482422,141.8300018310547,,,40.70547866821289,,50.75720977783203,99.38583374023438,79.5999984741211,35.43491744995117,34.41513442993164,76.12669372558594,116.90689086914062,73.60150909423828,266.7327575683594,110.88237762451172,184.5016326904297,15.26778793334961,49.028011322021484,180.02845764160156,316.2549743652344,213.58145141601562,109.13121032714844,,,11.566067695617676,18.962209701538086,64.68987274169922,25.118572235107422,77.61734771728516,101.73869323730469,107.16300201416016,28.686857223510742,35.02000045776367,4.434182167053223,48.54342269897461,68.25904083251953,31.09488296508789,45.485355377197266,169.23526000976562,83.12821960449219,18.720809936523438,32.25,88.41649627685547
2019-09-26,35.3288688659668,67.41424560546875,64.75064086914062,252.77288818359375,10.48360824584961,35.634742736816406,138.4502410888672,53.86614227294922,17.030258178710938,68.54000091552734,129.46702575683594,16.17066764831543,1.7100000381469727,36.274696350097656,14.937000274658203,29.815000534057617,141.7899932861328,,,42.01679992675781,25.760000228881836,50.765830993652344,99.55323028564453,79.75,35.767555236816406,34.18796920776367,76.04068756103516,117.91793060302734,73.7239761352539,271.8623046875,110.02632141113281,183.82217407226562,15.11491584777832,48.16956329345703,178.41334533691406,309.5616760253906,211.0789031982422,109.1677474975586,,,11.602577209472656,18.40857696533203,64.73532104492188,24.5821533203125,77.65400695800781,101.95671081542969,107.69200134277344,28.71751594543457,35.20000076293945,4.412040710449219,47.689720153808594,68.34503936767578,31.300189971923828,45.71641540527344,169.5924835205078,82.6675796508789,18.728286743164062,32.650001525878906,86.99199676513672
2019-09-27,34.885623931884766,67.03976440429688,64.62712860107422,251.3551483154297,10.256322860717773,35.47871780395508,138.17535400390625,53.80451965332031,17.0626277923584,66.5199966430664,128.17501831054688,16.142000198364258,1.7100000381469727,36.46192932128906,14.70300006866455,29.530000686645508,141.05999755859375,,,41.157657623291016,25.239999771118164,50.791717529296875,99.67656707763672,76.04000091552734,35.837581634521484,33.288780212402344,76.07508850097656,118.36332702636719,73.80270385742188,274.2020568847656,108.97270202636719,181.5411834716797,14.56651782989502,47.494384765625,176.14634704589844,298.40631103515625,195.31297302246094,108.61054992675781,,,10.757012367248535,18.69462013244629,64.72623443603516,24.395570755004883,77.69984436035156,102.10206604003906,107.75599670410156,28.6791934967041,33.25,4.273214817047119,42.40066909790039,66.74613189697266,31.225536346435547,45.71641540527344,167.99940490722656,82.29904174804688,18.735769271850586,31.280000686645508,86.27249908447266
2019-09-30,34.98992156982422,67.35942840576172,64.2401351928711,252.59686279296875,10.322612762451172,35.60873794555664,138.84934997558594,54.0686149597168,16.86057472229004,67.72000122070312,128.53009033203125,16.058000564575195,1.75,36.31724166870117,14.836999893188477,29.81999969482422,138.8699951171875,,,42.03489303588867,25.100000381469727,50.74858474731445,99.70296478271484,76.19999694824219,35.951377868652344,33.64372634887695,76.30728149414062,118.74990844726562,73.85518646240234,275.6418762207031,109.43367004394531,183.2688751220703,14.954765319824219,48.79651641845703,177.11929321289062,306.4010925292969,198.17164611816406,109.2317123413086,,,11.097321510314941,18.91607666015625,65.06255340576172,24.232311248779297,77.73648071289062,102.18384552001953,107.94400024414062,28.77117919921875,33.54999923706055,4.330684661865234,42.04740524291992,67.33540344238281,31.32818603515625,45.87902069091797,166.0780029296875,83.03608703613281,18.758197784423828,32.220001220703125,86.79550170898438
2019-10-01,34.74656295776367,66.5831069946289,62.72511291503906,249.55752563476562,10.284733772277832,35.288021087646484,138.31724548339844,53.92776107788086,16.86057472229004,66.81999969482422,127.7706527709961,16.312667846679688,1.7300000190734863,35.219303131103516,14.633999824523926,29.799999237060547,139.6300048828125,,,42.67699432373047,22.510000228881836,50.6639518737793,99.88398742675781,75.80999755859375,35.303611755371094,33.4449577331543,75.27528381347656,119.2205581665039,73.92707824707031,278.7015686035156,107.6180648803711,181.77415466308594,14.593210220336914,47.397918701171875,174.1809539794922,302.68255615234375,196.72787475585938,107.80670166015625,,,10.793519973754883,18.648481369018555,64.13542175292969,23.999086380004883,77.82369232177734,102.46684265136719,108.06900024414062,28.731922149658203,33.54999923706055,4.328945159912109,41.507720947265625,66.7047348022461,30.5909481048584,45.37409210205078,168.27943420410156,82.22534942626953,18.758197784423828,32.75,86.78250122070312
2019-10-02,34.58143997192383,65.46881866455078,61.08658981323242,245.1560821533203,10.11426830291748,34.58589553833008,135.70091247558594,52.84498596191406,16.389772415161133,61.540000915527344,127.36627960205078,16.208667755126953,1.659999966621399,34.240509033203125,14.489999771118164,28.969999313354492,141.25999450683594,,,41.98967361450195,22.600000381469727,50.6639518737793,99.95465850830078,73.8499984741211,34.76963424682617,33.49702072143555,73.93370056152344,119.46424865722656,74.09366607666016,280.5914001464844,106.42337036132812,178.6486053466797,13.845836639404297,45.256629943847656,172.4490509033203,303.7981262207031,197.34385681152344,106.17160034179688,,,10.284357070922852,18.519306182861328,62.944705963134766,23.8125057220459,77.90630340576172,102.82171630859375,107.73699951171875,28.616436004638672,32.63999938964844,4.305060386657715,41.19371795654297,65.73011016845703,30.46029281616211,44.24445343017578,163.97320556640625,81.02767181396484,18.6610107421875,32.59000015258789,85.6614990234375
2019-10-03,34.99860763549805,66.0168228149414,61.85233688354492,247.1019287109375,10.227911949157715,34.82860565185547,136.47251892089844,53.2147102355957,16.5849609375,64.30999755859375,126.3898696899414,15.535332679748535,1.649999976158142,34.25752639770508,14.541999816894531,29.399999618530273,141.89999389648438,,,42.62273406982422,22.329999923706055,50.85391616821289,100.34317016601562,76.83000183105469,34.603309631347656,33.90401840209961,74.37230682373047,120.85093688964844,74.33908081054688,288.0606689453125,107.20417785644531,180.60939025878906,14.302024841308594,46.54911804199219,174.4047393798828,318.11419677734375,205.24609375,106.77449798583984,,,10.81047248840332,18.205570220947266,63.262840270996094,23.182790756225586,78.07154083251953,103.3585433959961,107.16300201416016,28.66263198852539,33.59000015258789,4.510809421539307,42.645992279052734,66.88629913330078,30.786924362182617,44.56965637207031,166.90835571289062,81.75548553466797,18.671520233154297,32.95000076293945,86.22100067138672
2019-10-04,35.163734436035156,66.71096801757812,62.189910888671875,250.5304412841797,10.464667320251465,35.097312927246094,138.43252563476562,54.05100631713867,16.703641891479492,66.80999755859375,128.4807586669922,15.428667068481445,1.6799999475479126,34.70863342285156,14.659000396728516,30.104999542236328,141.89999389648438,,,42.88499450683594,23.010000228881836,50.86256408691406,100.50210571289062,76.52999877929688,35.32112121582031,34.098060607910156,75.3698959350586,122.15355682373047,74.46183013916016,294.36004638671875,108.26715850830078,183.2688751220703,14.903806686401367,48.68077087402344,176.61338806152344,316.06903076171875,207.51760864257812,108.21774291992188,,,11.396565437316895,17.8918399810791,64.08998107910156,22.693010330200195,78.0623779296875,103.55874633789062,106.82599639892578,28.70883560180664,34.369998931884766,4.5272297859191895,43.715576171875,67.99786376953125,30.581613540649414,44.92908477783203,169.9111328125,83.03608703613281,18.694053649902344,33.349998474121094,86.98249816894531
