コード,銘柄名,類似米国ETFティッカー
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,SPY
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ACWI
1551,東証スタンダードＴＯＰ２０ＥＴＦ,EWJ
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ACWX
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,REET
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,SPY
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,THD
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,EWM
1563,東証グロース・コアＥＴＦ,IJR
1566,上場インデックスファンド新興国債券,EMB
1568,ＴＯＰＩＸブル２倍上場投信,UPRO
1569,ＴＯＰＩＸベア上場投信,SH
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,UPRO
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,SH
1572,中国Ｈ株ブル２倍上場投信,YINN
1573,中国Ｈ株ベア上場投信,YANG
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,HDV
1578,上場インデックスファンド日経２２５（ミニ）,NKY
1579,日経平均ブル２倍上場投信,UPRO
1580,日経平均ベア上場投信,SH
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,XLK
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,XLK
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,EWJ
1592,上場インデックスファンドＪＰＸ日経インデックス４００,EWJ
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,EWJ
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,VNQ
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,XLK
1597,ＭＡＸＩＳ　Ｊリート上場投信,VNQ
1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,EWJ
159A,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,EWJ
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,KBE
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,XLP
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,XLE
